TOPIC,TAGS USED,WHATS IN IT ,ENTRY DATE,NOTES
"TITAN — Demo Environment Plan""","TITAN, DEMO, MOCK-UP, IP-PROTECTION, PRESENTATION",Demnostartion Mock Up???????,2/20/26,I have thoiughts about this a few different ways. Im strongly considering Buying a welding machine.
TITAN — Business Model and Timeline,"TITAN, BUSINESS-MODEL, TIMELINE, MARKET, EXPANSION",Business Model ,2/20/26,
"""TITAN + CODEX Strategy Session - Feb 27 2026""","TITAN, CODEX, API, ORGANIZATION, SESSION-SUMMARY, ACTION-ITEMS",Codex Fix,2/27/26,
TITAN_JARVIS_ARCHETIECTURE,TITAN JARVIS BUILD, Layout of how Titan will be built in phases,5/29/26,
,TITAN WORKFLOWS,"Milestone 1 and 2 complete, LangGraph running locally, Formosa F22MCB55 steel erection workflow built, 100-job workbook identified as TITAN training dataset.",5/29/26,
Roadmap to where i want to go from where im at now. steps and phases and whats included in those phases,"ROADMAP, MASTER-PLAN, PYTHON, SCRIMBA, ANTHROPIC-ACADEMY, CAREER-TRANSITION, AI-ENGINEERING, OT-ICS, CYBERSECURITY, TITAN, FITNESS-TRACKER, CALL-TRANSCRIBER, PENTEST-LAB, LANGGRAPH, CODEX, RAG, NETWORK-PLUS, SECURITY-PLUS, GICSP, GITHUB, BUILDS, PHASE1, PHASE2, PHASE3",Specified roadmap with coureses and projects to handle to get out of construction. the cyber security thing has peaked my intrest at this time. Ity always has as a kid. The movie Hackers was so cool back then. shouldve done this stuff so much sooner.,6/26/26,Just realizing that ppl are not goingto help you unless you are going to do something for them. The movie thing got me though. I wish i wouldve dont this stuff sooner. Everything happens for a reason i guess. Maybe my path has gotten me ready for where im going and how good ill be.?????? IDK??
"TOPIC: CODEX Deep-Dive — Architecture, Security Gaps, and Iteration List",codex/mcp/architecture/security/flask/ollama/embeddings/iteration-list/pc-migration.,"TOPIC: CODEX Deep-Dive — Architecture, Security Gaps, and Iteration List",7/15/26,"NOTES: Iteration list carried forward — (1) host/debug security fix, (2) tool annotations on the 5 MCP tools, (3) Ollama error-path verification, (4) actually start using this entry log consistently, (5) new PC migration whenever build happens, (6) JSON→real database migration, now more like 1-2 years out given entry size growth."
,,"TAGS: CODEX, MCP, ARCHITECTURE, SECURITY, FLASK, OLLAMA, EMBEDDINGS, ITERATION-LIST, PC-MIGRATION",,
box_20260811_180004,"resume, career, rhi-recruiter, TAR-shutdown, planner-schedule, job-search.",,8/11/26,
box_20260829_124508,,"962 words, both parts in one entry like you wanted: the full PC build spec and reasoning, plus tonight's cloud-hosting/memory findings marked clearly as an addendum to the July 15 entry, not a duplicate of it. Both parts are tagged separately (hardware terms vs. codex/mcp/memory terms) so semantic search should still pull the right one later even though they're combined.",,
: box_20260829_130241,"network-plus, study-guide, n10-009, thread-handoff, workflow-rules.","""Network+ Study Guide — Thread Handoff Context",,
box_20260829_214905,"codex, security, python, flask, bugfix, github-ready","Two fixes in titan_codex_server_simple.py: (1) Flask was network-exposed with debug mode on (RCE risk via Werkzeug debugger), fixed to localhost-only/debug off, zero functional impact confirmed. (2) Tag-splitting didn't strip whitespace, breaking exact-match tag searches on web-UI-entered tags, fixed with .strip() (forward-only, doesn't clean old data). Includes GitHub/LinkedIn write-up framing.",8/30/26,"GitHub-ready content, private repo planned"
box_20260829_214910,"pc-build, hardware, windows, vm-lab, pc-migration","New PC build OS decision: Windows Pro over Home (BitLocker, inbound RDP for Tailscale plan). Critical reminder: do not enable Hyper-V, conflicts with VirtualBox (the proven VM lab tool). WSL2 available free either edition for lightweight bash practice.",8/30/26,Build happens next week at Computer Heaven
box_20260830_124636,"pc-build, hardware, vm-lab, osint, kali, wireshark, propagation, intelligence-lifecycle, github-ready","PC build locked spec (Ryzen 9 9950X/RTX 5080/64GB DDR5) with full reasoning, VM lab next steps (Kali VM + SSH + Wireshark plan), OSINT self-audit framework and notes template, propagation/attribution learning-log entries, intelligence lifecycle comparison, R640 hardware notes, and same-day addendum (no GitHub/LinkedIn connector confirmed, Cowork Projects verified, two post candidates flagged).",8/30/26,Store failed twice with embedding errors before a full Ollama+Flask restart fixed it; condensed from ~1700 to 686 words along the way as a first troubleshooting step.
box_20260830_200519,"vm-lab, kali, ssh, networking, linux, titan-command, learning-log","Full Aug 30 2026 VM lab session: Kali VM (2026.2) imported and networked into LabLAN internal network, DHCP lease confirmed via pfSense (this Kali build uses NetworkManager/nmcli instead of dhclient), 0% packet loss ping to Ubuntu Server. SSH from Windows 11 to Ubuntu Server working via PowerShell built-in ssh client; full handshake explained (TCP 3-way -> SSH version exchange -> host key verification -> session encryption -> password auth). Had to reset the operator44 password via Ubuntu recovery mode (GRUB -> Advanced options -> recovery -> root shell -> mount -o remount,rw / -> passwd) after it was lost. Root cause of repeated failed logins after reset was Shift-key repeat mangling special characters while typing, fixed by pasting instead of live-typing the password. Also resolved a VirtualBox keyboard-failure notification storm caused by Windows Console QuickEdit Mode pausing the SSH session. Next session (weekend): Wireshark capture of the SSH handshake + ping/traceroute with teach-back format, OSINT self-audit tools from Kali, and light bash/scripting reps.",8/30/26,GitHub/LinkedIn-post-worthy: Linux password recovery process and SSH handshake breakdown both flagged as solid beginner writeup material.
box_20260830_202159,"index, readme, start-here, meta","Pinned CODEX entry point — single-pass orientation box covering identity, all 5 active workstreams (cert roadmap, VM lab, CODEX dev, PC build, career search) with current status, the GitHub/LinkedIn posting habit agreement, a directory of key box IDs, and the working agreement with Claude. Built to replace scanning dozens of individual boxes for context.",8/30/26,"No update/delete tool exists in the MCP bridge yet (codex_store/get/list/search/stats only) — true in-place editing needs a PATCH endpoint + codex_update tool added to the Flask server and MCP bridge. Until then, index updates get stored as new boxes with supersession noted in both."
